Task ID,Miss Count,[GPT-5](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251015_Prometheus_v1.2.1_gpt5),[Gemini 3](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251120_livesweagent_gemini-3-pro-preview),[Sonnet 4.5](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251103_sonar-foundation-agent_claude-sonnet-4-5),[Opus 4.5](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251215_livesweagent_claude-opus-4-5)
matplotlib__matplotlib-24570,1,Fail,Pass,Pass,Pass
sphinx-doc__sphinx-8548,1,Pass,Fail,Pass,Pass
mwaskom__seaborn-3069,1,Pass,Fail,Pass,Pass
sphinx-doc__sphinx-8056,1,Pass,Pass,Fail,Pass
django__django-14404,1,Pass,Pass,Pass,Fail
django__django-14534,1,Fail,Pass,Pass,Pass
django__django-14631,1,Pass,Pass,Fail,Pass
sphinx-doc__sphinx-7440,1,Pass,Pass,Pass,Fail
django__django-15022,1,Pass,Pass,Fail,Pass
django__django-15037,1,Pass,Pass,Fail,Pass
scikit-learn__scikit-learn-25102,1,Pass,Pass,Fail,Pass
django__django-15128,1,Fail,Pass,Pass,Pass
django__django-14053,1,Pass,Pass,Pass,Fail
django__django-15280,1,Pass,Pass,Fail,Pass
pytest-dev__pytest-5787,1,Fail,Pass,Pass,Pass
pylint-dev__pylint-4970,1,Pass,Fail,Pass,Pass
django__django-15741,1,Fail,Pass,Pass,Pass
pydata__xarray-3993,1,Pass,Pass,Fail,Pass
pydata__xarray-2905,1,Fail,Pass,Pass,Pass
psf__requests-6028,1,Pass,Pass,Fail,Pass
django__django-16454,1,Fail,Pass,Pass,Pass
django__django-16938,1,Fail,Pass,Pass,Pass
matplotlib__matplotlib-24177,1,Fail,Pass,Pass,Pass
sympy__sympy-23413,1,Fail,Pass,Pass,Pass
matplotlib__matplotlib-25775,1,Pass,Pass,Pass,Fail
django__django-15503,1,Fail,Pass,Pass,Pass
django__django-13925,1,Pass,Pass,Pass,Fail
sphinx-doc__sphinx-8265,1,Fail,Pass,Pass,Pass
django__django-11555,1,Pass,Pass,Fail,Pass
sympy__sympy-19040,1,Pass,Pass,Fail,Pass
sympy__sympy-18211,1,Pass,Fail,Pass,Pass
django__django-11490,1,Fail,Pass,Pass,Pass
sphinx-doc__sphinx-8638,1,Pass,Fail,Pass,Pass
sympy__sympy-16792,1,Fail,Pass,Pass,Pass
sympy__sympy-21379,1,Pass,Pass,Fail,Pass
django__django-11138,1,Pass,Pass,Fail,Pass
django__django-11964,1,Pass,Pass,Fail,Pass
django__django-11149,1,Pass,Fail,Pass,Pass
sympy__sympy-13877,1,Pass,Pass,Fail,Pass
sympy__sympy-13551,1,Fail,Pass,Pass,Pass
django__django-12663,1,Pass,Fail,Pass,Pass
django__django-12965,1,Fail,Pass,Pass,Pass
sympy__sympy-13091,1,Fail,Pass,Pass,Pass
sympy__sympy-22456,1,Pass,Pass,Pass,Fail
django__django-13401,1,Fail,Pass,Pass,Pass
django__django-12193,1,Pass,Fail,Pass,Pass
sympy__sympy-21612,2,Pass,Fail,Fail,Pass
sympy__sympy-19495,2,Fail,Pass,Fail,Pass
psf__requests-2931,2,Fail,Fail,Pass,Pass
psf__requests-1766,2,Fail,Pass,Fail,Pass
psf__requests-2317,2,Pass,Fail,Fail,Pass
sphinx-doc__sphinx-9658,2,Fail,Pass,Fail,Pass
pydata__xarray-4687,2,Pass,Fail,Fail,Pass
pydata__xarray-6599,2,Pass,Pass,Fail,Fail
pytest-dev__pytest-7205,2,Fail,Pass,Fail,Pass
sympy__sympy-15599,2,Fail,Pass,Pass,Fail
sympy__sympy-14976,2,Fail,Fail,Pass,Pass
scikit-learn__scikit-learn-14629,2,Pass,Fail,Fail,Pass
sympy__sympy-13031,2,Fail,Pass,Fail,Pass
sympy__sympy-12489,2,Fail,Fail,Pass,Pass
sympy__sympy-18698,2,Fail,Fail,Pass,Pass
psf__requests-1724,2,Fail,Pass,Fail,Pass
sympy__sympy-23950,2,Fail,Fail,Pass,Pass
matplotlib__matplotlib-25960,2,Fail,Fail,Pass,Pass
django__django-13344,2,Fail,Fail,Pass,Pass
django__django-11885,2,Fail,Pass,Pass,Fail
psf__requests-1142,2,Pass,Fail,Pass,Fail
django__django-14140,2,Fail,Fail,Pass,Pass
django__django-14376,2,Fail,Pass,Fail,Pass
django__django-14725,2,Fail,Pass,Fail,Pass
django__django-11433,2,Pass,Fail,Pass,Fail
django__django-15563,2,Pass,Pass,Fail,Fail
django__django-11265,2,Fail,Pass,Pass,Fail
django__django-15554,2,Fail,Fail,Pass,Pass
django__django-10097,2,Fail,Pass,Fail,Pass
django__django-15916,2,Fail,Fail,Pass,Pass
django__django-15957,2,Pass,Fail,Fail,Pass
django__django-16256,2,Pass,Pass,Fail,Fail
django__django-16642,2,Fail,Pass,Fail,Pass
django__django-15695,2,Fail,Fail,Pass,Pass
sympy__sympy-18763,3,Pass,Fail,Fail,Fail
astropy__astropy-13236,3,Fail,Pass,Fail,Fail
astropy__astropy-14182,3,Fail,Pass,Fail,Fail
django__django-11790,3,Fail,Fail,Fail,Pass
sympy__sympy-15875,3,Pass,Fail,Fail,Fail
astropy__astropy-14365,3,Fail,Pass,Fail,Fail
django__django-11734,3,Fail,Pass,Fail,Fail
sympy__sympy-17318,3,Pass,Fail,Fail,Fail
sympy__sympy-17630,3,Pass,Fail,Fail,Fail
sympy__sympy-14248,3,Fail,Fail,Fail,Pass
astropy__astropy-14598,3,Pass,Fail,Fail,Fail
sympy__sympy-15976,3,Fail,Fail,Pass,Fail
sympy__sympy-13974,3,Fail,Pass,Fail,Fail
sphinx-doc__sphinx-9602,3,Pass,Fail,Fail,Fail
